"AF,Ext,Ranking,grounded,
"
"<{ A0 },[]>",{A0},{A0=1},{A0}
"<{ A0 },[(A0,A0)]>",{},{A0=0.0},{}
"<{ A1, A0 },[(A1,A1), (A0,A1), (A1,A0)]>",{},"{A1=0.0, A0=0.6823178725614911278657787208368868}",{}
"<{ A1, A2, A0 },[(A1,A1), (A1,A2), (A2,A0), (A2,A1), (A0,A2), (A1,A0)]>",{},"{A1=0.0, A2=0.4999885559955139502414684946556499, A0=0.4999885559955139502414684946556499}",{}
"<{ A1, A2, A0 },[(A1,A1), (A1,A2), (A2,A1), (A0,A1), (A0,A2), (A1,A0)]>",{},"{A1=0.0, A2=0.4743722491445668923650351475334685, A0=0.7208718414838246747772555544867118}",{}
"<{ A1, A2, A0 },[(A1,A1), (A1,A2), (A2,A0), (A0,A0), (A0,A2), (A1,A0)]>",{},"{A1=0.0, A2=0.4959894411425438690440025741379234, A0=0.0}",{}
"<{ A1, A2, A0 },[(A1,A1), (A1,A2), (A0,A0), (A0,A1), (A0,A2), (A1,A0)]>",{},"{A1=0.0, A2=0.4999885559955139502414684946556499, A0=0.0}",{}
"<{ A1, A2, A0 },[(A1,A2), (A2,A0), (A2,A1), (A0,A1), (A0,A2), (A1,A0)]>",{},"{A1=0.4999885559955139502414684946556499, A2=0.4999885559955139502414684946556499, A0=0.4999885559955139502414684946556499}",{}
"<{ A1, A2, A0 },[(A1,A1), (A1,A2), (A2,A1), (A2,A2), (A0,A0), (A0,A2), (A1,A0)]>",{},"{A1=0.0, A2=0.0, A0=0.0}",{}
"<{ A1, A2, A0 },[(A1,A2), (A2,A0), (A2,A1), (A2,A2), (A0,A0), (A0,A2), (A1,A0)]>",{},"{A1=0.7152411483964464285032172559577877, A2=0.0, A0=0.0}",{}
"<{ A1, A2, A0 },[(A1,A2), (A2,A1), (A2,A2), (A0,A0), (A0,A1), (A0,A2), (A1,A0)]>",{},"{A1=0.5245079769983237617094318975260055, A2=0.0, A0=0.0}",{}
"<{ A1, A2, A0 },[(A1,A1), (A1,A2), (A2,A0), (A2,A2), (A0,A0), (A0,A2), (A1,A0)]>",{},"{A1=0.0, A2=0.0, A0=0.0}",{}
"<{ A1, A2, A0 },[(A1,A1), (A1,A2), (A2,A2), (A0,A0), (A0,A1), (A0,A2), (A1,A0)]>",{},"{A1=0.0, A2=0.0, A0=0.0}",{}
"<{ A1, A0 },[(A1,A1), (A0,A0), (A0,A1), (A1,A0)]>",{},"{A1=0.0, A0=0.0}",{}
"<{ A1, A2, A0 },[(A1,A1), (A1,A2), (A2,A1), (A2,A2), (A0,A0), (A0,A1), (A1,A0)]>",{},"{A1=0.0, A2=0.0, A0=0.0}",{}
